employee_id,amount_payroll,pay_date,amount_rk,_merge,delta
E1000,1796.1499999999999,2025-01-01,1712.19,both,83.95999999999981
E1001,1847.21,2025-01-01,1618.6100000000001,both,228.5999999999999
E1002,1736.98,2025-01-01,1527.45,both,209.52999999999997
E1003,1691.26,2025-01-01,1694.69,both,-3.4300000000000637
E1004,1554.84,2025-01-01,1549.49,both,5.349999999999909
E1005,1720.05,2025-01-01,1506.05,both,214.0
E1006,1260.5,2025-01-01,1189.79,both,70.71000000000004
E1007,1254.23,2025-01-01,1163.53,both,90.70000000000005
E1008,1617.8,2025-01-01,1064.02,both,553.78
E1009,1425.1299999999999,2025-01-01,1246.77,both,178.3599999999999
E1010,1455.27,2025-01-01,1455.4,both,-0.13000000000010914
E1011,1509.6699999999998,2025-01-01,1295.4,both,214.26999999999975
E1012,1482.9,2025-01-01,1490.21,both,-7.309999999999945
E1014,1390.96,2025-01-01,1229.69,both,161.26999999999998
E1015,1788.82,2025-01-01,1788.6699999999998,both,0.15000000000009095
E1016,1826.42,2025-01-01,1817.89,both,8.529999999999973
E1017,1598.23,2025-01-01,1466.17,both,132.05999999999995
E1018,1792.21,2025-01-01,1484.98,both,307.23
E1019,1606.8400000000001,2025-01-01,1540.74,both,66.10000000000014
E1020,1679.81,2025-01-01,1590.22,both,89.58999999999992
E1021,1858.6000000000001,2025-01-01,1568.91,both,289.69000000000005
E1022,1966.07,2025-01-01,1971.8700000000001,both,-5.800000000000182
E1023,1538.57,2025-01-01,1019.33,both,519.2399999999999
E1024,1403.27,2025-01-01,1154.55,both,248.72000000000003
E1025,1606.68,2025-01-01,1600.49,both,6.190000000000055
E1026,1674.11,2025-01-01,1531.39,both,142.7199999999998
E1027,1336.6100000000001,2025-01-01,1003.9000000000001,both,332.71000000000004
E1028,1478.59,2025-01-01,1420.84,both,57.75
E1029,1440.0,2025-01-01,1323.65,both,116.34999999999991
E1030,1683.32,2025-01-01,1679.21,both,4.1099999999999
E1031,1741.34,2025-01-01,1085.43,both,655.9099999999999
E1032,1352.72,2025-01-01,1300.77,both,51.950000000000045
E1033,1508.24,2025-01-01,1293.01,both,215.23000000000002
E1034,1532.27,2025-01-01,1433.64,both,98.62999999999988
E1035,1475.34,2025-01-01,1295.65,both,179.68999999999983
E1036,1708.53,2025-01-01,1701.27,both,7.259999999999991
E1037,2024.7,2025-01-01,1551.33,both,473.3700000000001
E1038,1900.2199999999998,2025-01-01,1903.25,both,-3.0300000000002
E1039,1426.25,2025-01-01,1361.46,both,64.78999999999996
E1040,1783.22,2025-01-01,1424.8,both,358.4200000000001
E1041,1989.24,2025-01-01,1695.24,both,294.0
E1042,1256.68,2025-01-01,1252.6100000000001,both,4.069999999999936
E1043,1853.25,2025-01-01,1657.07,both,196.18000000000006
E1044,1644.76,2025-01-01,1275.82,both,368.94000000000005
E1045,1818.16,2025-01-01,1666.5,both,151.66000000000008
E1046,1495.6399999999999,2025-01-01,1496.19,both,-0.5500000000001819
E1047,1990.8600000000001,2025-01-01,1648.83,both,342.0300000000002
E1048,1770.1200000000001,2025-01-01,1776.8100000000002,both,-6.690000000000055
E1049,1576.13,2025-01-01,1396.3600000000001,both,179.76999999999998
E1050,1699.17,2025-01-01,1696.09,both,3.0800000000001546
E1051,1487.31,2025-01-01,1506.28,both,-18.970000000000027
E1052,1561.52,2025-01-01,1485.33,both,76.19000000000005
E1053,1654.45,2025-01-01,1186.52,both,467.93000000000006
E1054,1911.55,2025-01-01,1701.04,both,210.51
E1055,1422.8,2025-01-01,1428.73,both,-5.930000000000064
E1056,1296.64,2025-01-01,1126.23,both,170.41000000000008
E1057,1422.19,2025-01-01,1406.05,both,16.1400000000001
E1058,1441.93,2025-01-01,1455.6100000000001,both,-13.680000000000064
E1059,1772.91,2025-01-01,1584.01,both,188.9000000000001
E1060,1584.84,2025-01-01,1426.1,both,158.74
E1061,1618.08,2025-01-01,1346.13,both,271.9499999999998
E1062,1710.88,2025-01-01,1454.45,both,256.43000000000006
E1063,1798.28,2025-01-01,1630.54,both,167.74
E1064,1668.04,2025-01-01,1402.58,both,265.46000000000004
E1066,1619.0,2025-01-01,1370.23,both,248.76999999999998
E1067,1504.67,2025-01-01,1263.72,both,240.95000000000005
E1068,1621.8799999999999,2025-01-01,1483.37,both,138.51
E1069,1891.99,2025-01-01,1663.46,both,228.52999999999997
E1070,1826.58,2025-01-01,1290.07,both,536.51
E1071,1984.6499999999999,2025-01-01,1982.73,both,1.9199999999998454
E1072,1485.03,2025-01-01,1437.18,both,47.84999999999991
E1073,1493.93,2025-01-01,1284.8500000000001,both,209.07999999999993
E1074,1701.54,2025-01-01,1580.05,both,121.49000000000001
E1076,1406.6499999999999,2025-01-01,1231.99,both,174.65999999999985
E1078,1789.94,2025-01-01,1784.68,both,5.259999999999991
E1079,1444.11,2025-01-01,1282.51,both,161.5999999999999
E1080,1826.4899999999998,2025-01-01,1219.6,both,606.8899999999999
E1081,1340.82,2025-01-01,1268.86,both,71.96000000000004
E1082,1900.0900000000001,2025-01-01,1899.97,both,0.12000000000011823
E1083,1524.2,2025-01-01,1001.47,both,522.73
E1084,1785.17,2025-01-01,999.27,both,785.9000000000001
E1085,1713.04,2025-01-01,1395.76,both,317.28
E1086,1573.6,2025-01-01,1586.3899999999999,both,-12.789999999999964
E1087,1777.22,2025-01-01,1769.94,both,7.279999999999973
E1088,1464.88,2025-01-01,1349.87,both,115.01000000000022
E1089,1421.84,2025-01-01,1225.1100000000001,both,196.7299999999998
E1090,1749.6100000000001,2025-01-01,991.75,both,757.8600000000001
E1091,1519.44,2025-01-01,1203.86,both,315.58000000000015
E1092,1670.78,2025-01-01,1602.44,both,68.33999999999992
E1093,1714.26,2025-01-01,1605.97,both,108.28999999999996
E1094,1839.34,2025-01-01,1790.07,both,49.26999999999998
E1095,1279.19,2025-01-01,1102.17,both,177.01999999999998
E1096,1369.09,2025-01-01,1111.06,both,258.03
E1097,1501.82,2025-01-01,1201.52,both,300.29999999999995
E1098,1984.85,2025-01-01,1583.18,both,401.66999999999985
E1099,1592.79,2025-01-01,1402.96,both,189.82999999999993
