run_id,plan_name,plan_year,employee_id,issue_category,issue_type,severity,source,source_csv_path,details,correction_hint
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E001,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$1800.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E001,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$1800.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E001,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$1800.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E004,Secure 2.0,secure20,High,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$19000.00, catchup_amount=$500.00.",Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E004,Secure 2.0,secure20,High,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$19000.00, catchup_amount=$500.00.",Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E004,Secure 2.0,secure20,High,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$19000.00, catchup_amount=$500.00.",Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E008,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$1000.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E008,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$1000.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E009,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$24000.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E009,Secure 2.0,secure20,Medium,secure20,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\secure20_violations.csv,"Secure 2.0 issue_type=Unknown issue, total_deferral=$24000.00.",Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E001,Eligibility,Late start after eligibility,High,eligibility,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\eligibility_drift.csv,"Eligibility issue_type=Late start after eligibility, eligibility=2021-06-01, first_deferral=2024-01-15, drift_days=958.0.",Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E002,Eligibility,Late start after eligibility,High,eligibility,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\eligibility_drift.csv,"Eligibility issue_type=Late start after eligibility, eligibility=2022-01-10, first_deferral=2024-01-15, drift_days=735.0.",Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E003,Eligibility,Late start after eligibility,High,eligibility,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\eligibility_drift.csv,"Eligibility issue_type=Late start after eligibility, eligibility=2023-02-01, first_deferral=2024-02-15, drift_days=379.0.",Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.
87b3e50e-9e7d-4424-b6a0-fae9f1125632,Demo Plan,2024,E004,Eligibility,Late start after eligibility,High,eligibility,api_uploads\87b3e50e-9e7d-4424-b6a0-fae9f1125632\output\eligibility_drift.csv,"Eligibility issue_type=Late start after eligibility, eligibility=2019-04-10, first_deferral=2024-01-15, drift_days=1741.0.",Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.
