employee_id,amount_payroll,pay_date,amount_rk,deposit_date,_merge
EMP01001,,,499.14,2025-03-04,right_only
EMP01002,,,1987.94,2025-01-27,right_only
EMP01003,,,904.6899999999999,2025-01-29,right_only
EMP01004,,,506.7,2025-02-17,right_only
EMP01005,,,1805.3400000000001,2025-01-07,right_only
EMP01006,,,557.73,2025-01-15,right_only
EMP01007,,,547.45,2025-01-14,right_only
EMP01008,,,1481.45,2025-01-20,right_only
EMP01009,,,571.8199999999999,2025-01-22,right_only
EMP01010,,,1812.38,2025-02-05,right_only
EMP01011,,,997.28,2025-01-28,right_only
EMP01012,,,1464.18,2025-01-15,right_only
EMP01013,,,1542.09,2025-02-10,right_only
EMP01014,,,2365.14,2025-01-13,right_only
EMP01015,,,671.4,2025-02-17,right_only
EMP01016,,,2092.42,2025-02-05,right_only
EMP01017,,,1509.71,2025-01-08,right_only
EMP01018,,,1936.75,2025-01-22,right_only
EMP01019,,,1101.8600000000001,2025-01-14,right_only
EMP01020,,,943.44,2025-01-08,right_only
EMP01021,,,687.44,2025-03-04,right_only
EMP01022,,,1115.46,2025-01-21,right_only
EMP01023,,,1944.83,2025-01-29,right_only
EMP01024,,,1133.83,2025-01-06,right_only
EMP01025,,,730.08,2025-01-08,right_only
EMP01026,,,653.98,2025-02-05,right_only
EMP01027,,,459.33,2025-02-25,right_only
EMP01028,,,923.64,2025-01-14,right_only
EMP01029,,,1732.78,2025-01-07,right_only
EMP01030,,,1249.6100000000001,2025-01-20,right_only
EMP01031,,,3043.37,2025-01-08,right_only
EMP01032,,,1282.35,2025-01-27,right_only
EMP01033,,,1503.0,2025-02-03,right_only
EMP01034,,,2063.96,2025-01-14,right_only
EMP01035,,,1939.4099999999999,2025-01-07,right_only
EMP01036,,,521.14,2025-01-27,right_only
EMP01037,,,786.25,2025-02-19,right_only
EMP01038,,,1032.76,2025-01-28,right_only
EMP01039,,,2013.7000000000003,2025-01-22,right_only
EMP01040,,,2512.8500000000004,2025-01-15,right_only
EMP01041,,,1971.8300000000002,2025-01-06,right_only
EMP01042,,,321.51,2025-03-04,right_only
EMP01043,,,496.19,2025-02-10,right_only
EMP01044,,,1028.31,2025-02-24,right_only
EMP01045,,,1236.31,2025-01-14,right_only
EMP01046,,,1575.33,2025-02-18,right_only
EMP01047,,,272.90999999999997,2025-03-04,right_only
EMP01048,,,1915.8600000000001,2025-01-15,right_only
EMP01049,,,2527.75,2025-01-14,right_only
EMP01050,,,1126.25,2025-01-28,right_only
EMP01051,,,1487.53,2025-01-29,right_only
EMP01052,,,193.82,2025-01-28,right_only
EMP01053,,,551.98,2025-01-15,right_only
EMP01054,,,2083.66,2025-01-08,right_only
EMP01055,,,1329.15,2025-02-10,right_only
EMP01056,,,1236.1000000000001,2025-01-06,right_only
EMP01057,,,1852.8999999999999,2025-01-27,right_only
EMP01058,,,1507.1100000000001,2025-02-03,right_only
EMP01060,,,1724.3899999999999,2025-01-21,right_only
EMP01061,,,1816.95,2025-02-25,right_only
EMP01062,,,2270.92,2025-01-13,right_only
EMP01063,,,221.64000000000001,2025-01-29,right_only
EMP01064,,,1156.6599999999999,2025-01-13,right_only
EMP01065,,,1547.3899999999999,2025-01-29,right_only
EMP01066,,,574.8299999999999,2025-02-18,right_only
EMP01067,,,1733.16,2025-01-08,right_only
EMP01068,,,2264.5699999999997,2025-02-04,right_only
EMP01069,,,1567.38,2025-02-04,right_only
EMP01070,,,1091.8200000000002,2025-01-27,right_only
EMP01071,,,1762.0,2025-01-14,right_only
EMP01072,,,1146.51,2025-01-06,right_only
EMP01073,,,2509.29,2025-01-07,right_only
EMP01074,,,1419.83,2025-01-29,right_only
EMP01075,,,1135.97,2025-02-24,right_only
EMP01076,,,1553.37,2025-01-07,right_only
EMP01077,,,1380.34,2025-01-28,right_only
EMP01078,,,1246.07,2025-01-13,right_only
EMP01079,,,907.56,2025-01-13,right_only
EMP01080,,,247.70000000000002,2025-01-28,right_only
EMP01081,,,456.13,2025-01-27,right_only
EMP01082,,,2250.51,2025-01-29,right_only
EMP01083,,,185.94,2025-02-05,right_only
EMP01084,,,1685.06,2025-02-19,right_only
EMP01085,,,708.67,2025-01-14,right_only
EMP01086,,,1421.73,2025-01-07,right_only
EMP01087,,,1989.8,2025-01-15,right_only
EMP01088,,,1727.19,2025-01-22,right_only
EMP01089,,,1974.54,2025-02-05,right_only
EMP01090,,,1551.94,2025-01-08,right_only
EMP01091,,,2504.33,2025-01-06,right_only
EMP01092,,,1422.54,2025-02-17,right_only
EMP01093,,,1952.4299999999998,2025-01-28,right_only
EMP01094,,,2387.7200000000003,2025-01-07,right_only
EMP01095,,,1921.1100000000001,2025-01-07,right_only
EMP01096,,,766.32,2025-01-07,right_only
EMP01097,,,176.72,2025-02-24,right_only
EMP01098,,,994.47,2025-02-25,right_only
EMP01099,,,972.19,2025-01-15,right_only
EMP01100,,,258.90999999999997,2025-02-04,right_only
EMP01101,,,2315.15,2025-01-27,right_only
EMP01102,,,1206.67,2025-01-07,right_only
EMP01103,,,652.87,2025-02-18,right_only
EMP01104,,,1144.95,2025-01-07,right_only
EMP01105,,,901.5,2025-02-05,right_only
EMP01106,,,2023.1399999999999,2025-01-06,right_only
EMP01107,,,1429.3999999999999,2025-02-04,right_only
EMP01108,,,1015.39,2025-01-28,right_only
EMP01109,,,1934.48,2025-01-06,right_only
EMP01110,,,1336.17,2025-01-07,right_only
EMP01111,,,1433.73,2025-02-03,right_only
EMP01112,,,1483.97,2025-01-14,right_only
EMP01113,,,1255.69,2025-01-06,right_only
EMP01114,,,339.35,2025-01-28,right_only
EMP01115,,,1145.79,2025-01-08,right_only
EMP01116,,,1022.02,2025-02-24,right_only
EMP01117,,,869.6,2025-02-26,right_only
EMP01118,,,1577.44,2025-02-04,right_only
EMP01119,,,1923.6799999999998,2025-01-15,right_only
EMP01120,,,1644.31,2025-02-03,right_only
EMP01121,,,1254.02,2025-01-27,right_only
EMP01122,,,2552.0,2025-01-28,right_only
EMP01123,,,1708.71,2025-01-15,right_only
EMP01124,,,1935.98,2025-02-11,right_only
EMP01125,,,1125.38,2025-02-11,right_only
EMP01126,,,0.03,2025-01-14,right_only
EMP01127,,,1853.12,2025-01-14,right_only
EMP01128,,,698.19,2025-01-28,right_only
EMP01129,,,466.35,2025-01-22,right_only
EMP01130,,,1320.62,2025-01-27,right_only
EMP01131,,,1389.16,2025-01-07,right_only
EMP01132,,,1477.16,2025-02-04,right_only
EMP01133,,,1097.36,2025-01-13,right_only
EMP01134,,,518.51,2025-02-18,right_only
EMP01135,,,2350.69,2025-01-06,right_only
EMP01136,,,1131.28,2025-01-20,right_only
EMP01137,,,867.4300000000001,2025-01-13,right_only
