employee_id,amount_payroll,pay_date,amount_rk,_merge
E1000,,,1284.63,right_only
E1001,,,1335.64,right_only
E1002,,,959.32,right_only
E1003,,,1044.52,right_only
E1004,,,1262.44,right_only
E1005,,,655.41,right_only
E1006,,,1036.91,right_only
E1007,,,1033.37,right_only
E1008,,,958.53,right_only
E1009,,,1232.98,right_only
E1010,,,1031.95,right_only
E1011,,,929.36,right_only
E1012,,,938.49,right_only
E1013,,,1121.82,right_only
E1014,,,983.11,right_only
E1015,,,1125.56,right_only
E1016,,,1105.24,right_only
E1017,,,1094.12,right_only
E1018,,,547.78,right_only
E1019,,,971.1399999999999,right_only
E1020,,,605.27,right_only
E1021,,,1030.83,right_only
E1022,,,765.36,right_only
E1023,,,874.48,right_only
E1024,,,859.24,right_only
E1025,,,964.0500000000001,right_only
E1026,,,976.86,right_only
E1027,,,1107.02,right_only
E1028,,,931.26,right_only
E1029,,,1091.35,right_only
E1030,,,1145.27,right_only
E1031,,,1188.09,right_only
E1032,,,1076.6200000000001,right_only
E1033,,,881.31,right_only
E1034,,,1038.62,right_only
E1035,,,608.16,right_only
E1036,,,984.22,right_only
E1037,,,823.48,right_only
E1038,,,753.1600000000001,right_only
E1039,,,920.94,right_only
E1040,,,1049.8999999999999,right_only
E1041,,,769.0899999999999,right_only
E1042,,,975.79,right_only
E1043,,,864.5,right_only
E1044,,,874.36,right_only
E1045,,,712.74,right_only
E1046,,,1313.74,right_only
E1047,,,1090.8,right_only
E1048,,,1098.0,right_only
E1049,,,1006.19,right_only
E1050,,,1133.36,right_only
E1051,,,1168.85,right_only
E1052,,,865.0300000000001,right_only
E1053,,,773.53,right_only
E1054,,,1306.83,right_only
E1055,,,1074.05,right_only
E1056,,,1232.55,right_only
E1057,,,1233.13,right_only
E1058,,,738.96,right_only
E1059,,,807.1,right_only
E1060,,,1084.66,right_only
E1061,,,869.67,right_only
E1062,,,922.27,right_only
E1063,,,1244.57,right_only
E1064,,,1337.66,right_only
E1065,,,1071.03,right_only
E1066,,,938.74,right_only
E1067,,,968.16,right_only
E1068,,,1063.92,right_only
E1069,,,839.22,right_only
E1070,,,1256.93,right_only
E1071,,,1006.48,right_only
E1072,,,1129.8,right_only
E1073,,,777.55,right_only
E1074,,,599.21,right_only
E1075,,,1045.1,right_only
E1076,,,1127.47,right_only
E1077,,,782.76,right_only
E1078,,,893.28,right_only
E1079,,,908.51,right_only
