employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-03,160.05,0.0,0.0
E1000,2025-01-17,169.46,0.0,0.0
E1000,2025-01-31,82.79,0.0,0.0
E1000,2025-02-14,148.16,0.0,0.0
E1000,2025-02-28,109.87,0.0,0.0
E1000,2025-03-14,159.46,0.0,0.0
E1000,2025-03-28,144.7,0.0,0.0
E1000,2025-04-11,150.94,0.0,0.0
E1001,2025-01-03,135.3,0.0,0.0
E1001,2025-01-17,73.07,0.0,0.0
E1001,2025-01-31,120.85,0.0,0.0
E1001,2025-02-14,178.01,0.0,0.0
E1001,2025-02-28,171.86,0.0,0.0
E1001,2025-03-14,55.61,0.0,0.0
E1001,2025-03-28,71.43,0.0,0.0
E1001,2025-04-11,67.12,0.0,0.0
E1002,2025-01-03,144.38,0.0,0.0
E1002,2025-01-17,156.31,0.0,0.0
E1002,2025-01-31,77.76,0.0,0.0
E1002,2025-02-14,115.76,0.0,0.0
E1002,2025-02-28,159.29,0.0,0.0
E1002,2025-03-14,145.26,0.0,0.0
E1002,2025-03-28,120.49,0.0,0.0
E1002,2025-04-11,126.75,0.0,0.0
E1003,2025-01-03,116.09,0.0,0.0
E1003,2025-01-17,88.68,0.0,0.0
E1003,2025-01-31,123.45,0.0,0.0
E1003,2025-02-14,139.56,0.0,0.0
E1003,2025-02-28,163.53,0.0,0.0
E1003,2025-03-14,132.72,0.0,0.0
E1003,2025-03-28,148.95,0.0,0.0
E1003,2025-04-11,70.81,0.0,0.0
E1004,2025-01-03,110.0,0.0,0.0
E1004,2025-01-17,51.21,0.0,0.0
E1004,2025-01-31,82.07,0.0,0.0
E1004,2025-02-14,144.44,0.0,0.0
E1004,2025-02-28,178.94,0.0,0.0
E1004,2025-03-14,62.89,0.0,0.0
E1004,2025-03-28,102.19,0.0,0.0
E1004,2025-04-11,154.01,0.0,0.0
E1005,2025-01-03,76.52,0.0,0.0
E1005,2025-01-17,122.16,0.0,0.0
E1005,2025-01-31,145.3,0.0,0.0
E1005,2025-02-14,130.08,0.0,0.0
E1005,2025-02-28,74.44,0.0,0.0
E1005,2025-03-14,96.2,0.0,0.0
E1005,2025-03-28,151.89,0.0,0.0
E1005,2025-04-11,122.05,0.0,0.0
E1006,2025-01-03,302.88,0.0,0.0
E1006,2025-01-17,303.74,0.0,0.0
E1006,2025-01-31,367.93,0.0,0.0
E1006,2025-02-14,263.21999999999997,0.0,0.0
E1006,2025-02-28,230.48000000000002,0.0,0.0
E1006,2025-03-14,463.23,0.0,0.0
E1006,2025-03-28,287.6,0.0,0.0
E1006,2025-04-11,421.11,0.0,0.0
E1007,2025-01-03,127.1,0.0,0.0
E1007,2025-01-17,100.9,0.0,0.0
E1007,2025-01-31,103.64,0.0,0.0
E1007,2025-02-14,140.43,0.0,0.0
E1007,2025-02-28,50.42,0.0,0.0
E1007,2025-03-14,130.55,0.0,0.0
E1007,2025-03-28,96.21,0.0,0.0
E1007,2025-04-11,153.25,0.0,0.0
E1008,2025-01-03,62.09,0.0,0.0
E1008,2025-01-17,126.47,0.0,0.0
E1008,2025-01-31,112.53,0.0,0.0
E1008,2025-02-14,133.5,0.0,0.0
E1008,2025-02-28,58.43,0.0,0.0
E1008,2025-03-14,125.4,0.0,0.0
E1008,2025-03-28,122.99,0.0,0.0
E1008,2025-04-11,122.89,0.0,0.0
E1009,2025-01-03,128.45,0.0,0.0
E1009,2025-01-17,137.94,0.0,0.0
E1009,2025-01-31,154.65,0.0,0.0
E1009,2025-02-14,85.08,0.0,0.0
E1009,2025-02-28,157.26,0.0,0.0
E1009,2025-03-14,114.77,0.0,0.0
E1009,2025-03-28,60.02,0.0,0.0
E1009,2025-04-11,57.61,0.0,0.0
E1010,2025-01-03,93.45,0.0,0.0
E1010,2025-01-17,152.04,0.0,0.0
E1010,2025-01-31,142.0,0.0,0.0
E1010,2025-02-14,152.52,0.0,0.0
E1010,2025-02-28,117.24,0.0,0.0
