employee_id,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E1000,2025-01-03,106.18,0.0,0.0,106.18,0.0
E1000,2025-01-17,192.61,0.0,0.0,192.61,0.0
E1000,2025-01-31,159.8,0.0,0.0,159.8,0.0
E1000,2025-02-14,139.8,0.0,0.0,139.8,0.0
E1000,2025-02-28,73.4,0.0,0.0,73.4,0.0
E1000,2025-03-14,73.4,0.0,0.0,73.4,0.0
E1001,2025-01-03,58.71,0.0,0.0,58.71,0.0
E1001,2025-01-17,179.93,0.0,0.0,179.93,0.0
E1001,2025-01-31,140.17,0.0,0.0,140.17,0.0
E1001,2025-02-14,156.21,0.0,0.0,156.21,0.0
E1001,2025-02-28,53.09,0.0,0.0,53.09,0.0
E1001,2025-03-14,195.49,0.0,0.0,195.49,0.0
E1002,2025-01-03,174.87,0.0,0.0,174.87,0.0
E1002,2025-01-17,81.85,0.0,0.0,81.85,0.0
E1002,2025-01-31,77.27,0.0,0.0,77.27,0.0
E1002,2025-02-14,77.51,0.0,0.0,77.51,0.0
E1002,2025-02-28,95.64,0.0,0.0,95.64,0.0
E1002,2025-03-14,128.71,0.0,0.0,128.71,0.0
E1003,2025-01-03,114.79,0.0,0.0,114.79,0.0
E1003,2025-01-17,93.68,0.0,0.0,93.68,0.0
E1003,2025-01-31,141.78,0.0,0.0,141.78,0.0
E1003,2025-02-14,70.92,0.0,0.0,70.92,0.0
E1003,2025-02-28,93.82,0.0,0.0,93.82,0.0
E1003,2025-03-14,104.95,0.0,0.0,104.95,0.0
E1004,2025-01-03,118.41,0.0,0.0,118.41,0.0
E1004,2025-01-17,167.78,0.0,0.0,167.78,0.0
E1004,2025-01-31,79.95,0.0,0.0,79.95,0.0
E1004,2025-02-14,127.14,0.0,0.0,127.14,0.0
E1004,2025-02-28,138.86,0.0,0.0,138.86,0.0
E1004,2025-03-14,56.97,0.0,0.0,56.97,0.0
E1005,2025-01-03,141.13,0.0,0.0,141.13,0.0
E1005,2025-01-17,75.58,0.0,0.0,75.58,0.0
E1005,2025-01-31,59.76,0.0,0.0,59.76,0.0
E1005,2025-02-14,192.33,0.0,0.0,192.33,0.0
E1005,2025-02-28,194.84,0.0,0.0,194.84,0.0
E1005,2025-03-14,171.26,0.0,0.0,171.26,0.0
E1006,2025-01-03,95.69,0.0,0.0,95.69,0.0
E1006,2025-01-17,64.65,0.0,0.0,64.65,0.0
E1006,2025-01-31,152.63,0.0,0.0,152.63,0.0
E1006,2025-02-14,116.02,0.0,0.0,116.02,0.0
