employee_id,age,is_hce,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E1000,55,1,2025-01-03,124.63,67.91,0.0,124.63,67.91
E1000,35,0,2025-01-17,53.37,0.0,0.0,53.37,0.0
E1000,35,0,2025-01-31,127.3,38.49,0.0,127.3,38.49
E1000,35,0,2025-02-14,157.3,0.0,0.0,157.3,0.0
E1000,35,0,2025-02-28,90.9,31.38,0.0,90.9,31.38
E1000,35,0,2025-03-14,79.47,0.0,0.0,79.47,0.0
E1000,35,0,2025-03-28,94.02,0.0,0.0,94.02,0.0
E1000,35,0,2025-04-11,38.35,30.55,0.0,38.35,30.55
E1001,48,0,2025-01-03,58.27,30.8,0.0,58.27,30.8
E1001,48,0,2025-01-17,130.09,0.0,0.0,130.09,0.0
E1001,48,0,2025-01-31,117.35,0.0,0.0,117.35,0.0
E1001,48,0,2025-02-14,177.91,0.0,0.0,177.91,0.0
E1001,48,0,2025-02-28,96.28,68.36,0.0,96.28,68.36
E1001,48,0,2025-03-14,38.96,40.79,0.0,38.96,40.79
E1001,48,0,2025-03-28,138.42,57.28,0.0,138.42,57.28
E1001,48,1,2025-04-11,138.89,88.91,0.0,138.89,88.91
E1002,50,0,2025-01-03,56.66,19.91,0.0,56.66,19.91
E1002,50,0,2025-01-17,66.03,0.0,0.0,66.03,0.0
E1002,50,0,2025-01-31,144.24,0.0,0.0,144.24,0.0
E1002,50,0,2025-02-14,91.91,0.0,0.0,91.91,0.0
E1002,50,0,2025-02-28,186.34,0.0,0.0,186.34,0.0
E1002,50,0,2025-03-14,136.15,0.0,0.0,136.15,0.0
E1002,50,0,2025-03-28,163.37,0.0,0.0,163.37,0.0
E1002,50,0,2025-04-11,59.88,0.0,0.0,59.88,0.0
E1003,48,0,2025-01-03,169.3,0.0,0.0,169.3,0.0
E1003,48,0,2025-01-17,178.41,0.0,0.0,178.41,0.0
E1003,48,0,2025-01-31,113.06,0.0,0.0,113.06,0.0
E1003,48,0,2025-02-14,74.63,66.25,0.0,74.63,66.25
E1003,48,0,2025-02-28,64.45,41.48,0.0,64.45,41.48
E1003,48,0,2025-03-14,95.13,0.0,0.0,95.13,0.0
E1003,48,0,2025-03-28,27.83,10.56,0.0,27.83,10.56
E1003,48,0,2025-04-11,184.47,0.0,0.0,184.47,0.0
E1004,55,0,2025-01-03,122.43,0.0,0.0,122.43,0.0
E1004,55,0,2025-01-17,115.49,68.96,0.0,115.49,68.96
E1004,55,0,2025-01-31,115.92,0.0,0.0,115.92,0.0
E1004,55,0,2025-02-14,105.93,0.0,0.0,105.93,0.0
E1004,55,0,2025-02-28,55.85,0.0,0.0,55.85,0.0
E1004,55,0,2025-03-14,101.8,38.99,0.0,101.8,38.99
E1004,55,0,2025-03-28,72.14,35.87,0.0,72.14,35.87
E1004,55,0,2025-04-11,157.11,0.0,0.0,157.11,0.0
E1005,55,0,2025-01-03,108.97,0.0,0.0,108.97,0.0
E1005,55,0,2025-01-17,25.49,29.13,0.0,25.49,29.13
E1005,55,0,2025-01-31,85.93,85.61,0.0,85.93,85.61
E1005,55,0,2025-02-14,61.34,0.0,0.0,61.34,0.0
E1005,55,0,2025-02-28,58.21,0.0,0.0,58.21,0.0
E1005,55,0,2025-03-14,85.49,0.0,0.0,85.49,0.0
E1005,55,0,2025-03-28,28.95,26.3,0.0,28.95,26.3
E1005,55,0,2025-04-11,116.41,0.0,0.0,116.41,0.0
E1006,50,1,2025-01-03,472.29,0.0,0.0,472.29,0.0
E1006,50,1,2025-01-17,313.53,0.0,0.0,313.53,0.0
E1006,50,1,2025-01-31,358.99,0.0,0.0,358.99,0.0
E1006,50,1,2025-02-14,250.04999999999998,0.0,0.0,250.04999999999998,0.0
E1006,50,1,2025-02-28,382.95000000000005,0.0,0.0,382.95000000000005,0.0
E1006,50,1,2025-03-14,262.74,0.0,0.0,262.74,0.0
E1006,50,1,2025-03-28,387.63,0.0,0.0,387.63,0.0
E1006,50,1,2025-04-11,423.9,0.0,0.0,423.9,0.0
E1007,50,0,2025-01-03,28.84,15.26,0.0,28.84,15.26
E1007,50,0,2025-01-17,42.88,0.0,0.0,42.88,0.0
E1007,50,0,2025-01-31,78.97,0.0,0.0,78.97,0.0
E1007,50,0,2025-02-14,110.0,39.26,0.0,110.0,39.26
E1007,50,0,2025-02-28,43.11,14.81,0.0,43.11,14.81
E1007,50,0,2025-03-14,186.38,0.0,0.0,186.38,0.0
E1007,50,0,2025-03-28,160.23,0.0,0.0,160.23,0.0
E1007,50,0,2025-04-11,100.04,72.68,0.0,100.04,72.68
E1008,35,0,2025-01-03,122.19,0.0,0.0,122.19,0.0
E1008,35,0,2025-01-17,58.32,58.16,0.0,58.32,58.16
E1008,35,0,2025-01-31,71.33,29.44,0.0,71.33,29.44
E1008,35,0,2025-02-14,150.6,0.0,0.0,150.6,0.0
E1008,35,0,2025-02-28,73.28,39.03,0.0,73.28,39.03
E1008,35,0,2025-03-14,108.92,0.0,0.0,108.92,0.0
E1008,35,0,2025-03-28,157.75,0.0,0.0,157.75,0.0
